CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00070,723,2,1731.82,1,1,1,111,Lost
CUST00071,506,3,17510.85,1,1,2,112,Lost
CUST00072,12,19,91076.44,5,5,4,554,Champions
CUST00073,6,41,143107.36,5,5,5,555,Champions
CUST00074,440,1,1540.2,2,1,1,211,Hibernating
CUST00075,391,4,15964.609999999999,2,2,2,222,Hibernating
CUST00076,511,10,20691.65,1,3,2,132,Hibernating
CUST00077,395,6,9116.97,2,2,2,222,Hibernating
CUST00078,9,27,141091.59,5,5,5,555,Champions
CUST00079,236,14,157189.54,3,4,5,345,Loyal Customers
CUST00080,10,22,112320.44,5,5,4,554,Champions
CUST00081,283,2,5639.8,3,1,1,311,Hibernating
CUST00082,284,7,13882.15,3,3,2,332,Need Attention
CUST00083,253,15,38063.270000000004,3,4,3,343,Loyal Customers
CUST00084,3,26,198532.61,5,5,5,555,Champions
CUST00085,65,6,26253.36,4,2,3,423,New Customers
CUST00086,147,14,45000.64,3,4,3,343,Loyal Customers
CUST00087,358,4,9725.949999999999,2,2,2,222,Hibernating
CUST00088,393,5,11870.94,2,2,2,222,Hibernating
CUST00089,471,1,1067.14,2,1,1,211,Hibernating
CUST00090,147,10,34080.34,3,3,3,333,Loyal Customers
CUST00091,2,18,113820.20000000001,5,5,4,554,Champions
CUST00092,190,3,109988.41,3,1,4,314,Hibernating
CUST00093,519,7,11163.09,1,3,2,132,Hibernating
CUST00094,382,8,25584.97,2,3,3,233,Hibernating
CUST00095,623,3,16444.82,1,1,2,112,Lost
CUST00096,89,10,74446.23000000001,4,3,4,434,Loyal Customers
CUST00097,472,6,23785.62,2,2,3,223,Hibernating
CUST00098,179,14,100328.52,3,4,4,344,Loyal Customers
CUST00099,1,53,219326.99,5,5,5,555,Champions
CUST00100,9,20,73816.14,5,5,4,554,Champions
CUST00101,1,63,247786.32,5,5,5,555,Champions
CUST00102,204,2,964.82,3,1,1,311,Hibernating
CUST00103,164,17,286617.95,3,4,5,345,Loyal Customers
CUST00104,422,4,36975.65,2,2,3,223,Hibernating
CUST00105,682,4,7568.12,1,2,1,121,Lost
CUST00106,165,8,73298.08,3,3,4,334,Loyal Customers
CUST00107,132,7,11147.83,4,3,2,432,Need Attention
CUST00108,425,4,54656.479999999996,2,2,4,224,Hibernating
CUST00109,87,9,141545.87,4,3,5,435,Loyal Customers
CUST00110,19,25,99879.45,4,5,4,454,Champions
CUST00111,46,14,67273.4,4,4,4,444,Champions
CUST00112,6,31,84867.93000000001,5,5,4,554,Champions
CUST00113,376,5,108617.04999999999,2,2,4,224,Hibernating
CUST00114,352,1,16280.76,3,1,2,312,Hibernating
CUST00115,461,10,44112.49,2,3,3,233,Hibernating
CUST00116,540,2,5576.35,1,1,1,111,Lost
CUST00117,347,1,2832.27,3,1,1,311,Hibernating
CUST00118,5,17,137597.53,5,4,5,545,Champions
CUST00119,649,1,530.38,1,1,1,111,Lost
CUST00120,375,6,17480.75,2,2,2,222,Hibernating
CUST00121,584,2,48959.36,1,1,4,114,Lost
CUST00122,520,1,4628.7,1,1,1,111,Lost
CUST00123,325,7,35887.049999999996,3,3,3,333,Loyal Customers
CUST00124,5,26,135775.94,5,5,5,555,Champions
CUST00125,16,8,25843.46,4,3,3,433,Loyal Customers
CUST00126,6,8,58649.35,5,3,4,534,Loyal Customers
CUST00127,595,2,5138.29,1,1,1,111,Lost
CUST00128,669,2,11061.429999999998,1,1,2,112,Lost
CUST00129,1,60,530490.5700000001,5,5,5,555,Champions
CUST00130,415,2,4001.88,2,1,1,211,Hibernating
CUST00131,172,10,14450.15,3,3,2,332,Need Attention
CUST00132,81,8,32228.68,4,3,3,433,Loyal Customers
CUST00133,18,25,121866.54,4,5,5,455,Champions
CUST00134,22,19,88750.09999999999,4,5,4,454,Champions
CUST00135,385,4,20769.01,2,2,2,222,Hibernating
CUST00136,222,15,38172.729999999996,3,4,3,343,Loyal Customers
CUST00137,485,4,12001.49,1,2,2,122,Lost
CUST00138,219,7,77856.4,3,3,4,334,Loyal Customers
CUST00139,2,10,31765.69,5,3,3,533,Loyal Customers
CUST00140,263,3,10430.17,3,1,2,312,Hibernating
CUST00141,193,2,3281.94,3,1,1,311,Hibernating
CUST00142,45,10,21244.76,4,3,2,432,Need Attention
CUST00143,36,15,92979.85,4,4,4,444,Champions
CUST00144,120,11,53901.51,4,4,4,444,Champions
CUST00145,142,18,29641.83,3,5,3,353,Loyal Customers
CUST00146,15,55,182602.63,4,5,5,455,Champions
CUST00147,349,8,138940.09,3,3,5,335,Loyal Customers
CUST00148,446,6,24445.420000000002,2,2,3,223,Hibernating
CUST00149,5,17,74639.1,5,4,4,544,Champions
CUST00150,58,10,32834.56,4,3,3,433,Loyal Customers
CUST00151,537,2,1240.73,1,1,1,111,Lost
CUST00152,11,9,16115.69,5,3,2,532,Need Attention
CUST00153,15,23,440265.75,4,5,5,455,Champions
CUST00154,8,11,24600.71,5,4,3,543,Loyal Customers
CUST00155,678,3,5777.13,1,1,1,111,Lost
CUST00156,149,9,24625.22,3,3,3,333,Loyal Customers
CUST00157,266,4,83320.69,3,2,4,324,Need Attention
CUST00158,626,5,71725.95,1,2,4,124,Lost
CUST00159,55,9,33464.229999999996,4,3,3,433,Loyal Customers
CUST00160,531,6,7778.77,1,2,1,121,Lost
CUST00161,32,12,170020.33,4,4,5,445,Champions
CUST00162,497,4,48233.11,1,2,3,123,Lost
CUST00163,271,10,12947.49,3,3,2,332,Need Attention
CUST00164,395,5,88333.13,2,2,4,224,Hibernating
CUST00165,10,18,33128.66,5,5,3,553,Loyal Customers
CUST00166,374,1,151.23,2,1,1,211,Hibernating
CUST00167,34,9,18336.79,4,3,2,432,Need Attention
CUST00168,3,20,108501.15,5,5,4,554,Champions
CUST00169,4,66,279350.35,5,5,5,555,Champions
CUST00170,368,5,113323.83000000002,2,2,4,224,Hibernating
CUST00171,210,9,229794.38,3,3,5,335,Loyal Customers
CUST00172,1,46,162846.1,5,5,5,555,Champions
CUST00173,365,4,173214.63999999998,2,2,5,225,Hibernating
CUST00174,82,12,59393.18,4,4,4,444,Champions
CUST00175,400,4,11418.04,2,2,2,222,Hibernating
CUST00176,12,18,101447.39000000001,5,5,4,554,Champions
CUST00177,422,3,7983.290000000001,2,1,1,211,Hibernating
CUST00178,297,8,16850.4,3,3,2,332,Need Attention
CUST00179,530,4,13100.26,1,2,2,122,Lost
CUST00180,9,17,80845.48,5,4,4,544,Champions
CUST00181,223,9,35898.700000000004,3,3,3,333,Loyal Customers
CUST00182,6,26,122609.45999999999,5,5,5,555,Champions
CUST00183,556,2,18407.75,1,1,2,112,Lost
CUST00184,442,3,14331.58,2,1,2,212,Hibernating
CUST00185,49,11,21065.15,4,4,2,442,Need Attention
CUST00186,228,9,93081.22,3,3,4,334,Loyal Customers
CUST00187,581,1,4808.1,1,1,1,111,Lost
CUST00188,566,3,3026.2200000000003,1,1,1,111,Lost
CUST00189,523,5,106039.61,1,2,4,124,Lost
CUST00190,24,5,99748.65,4,2,4,424,New Customers
CUST00191,1,25,311623.72,5,5,5,555,Champions
CUST00192,685,2,6388.6,1,1,1,111,Lost
CUST00193,512,4,9050.33,1,2,2,122,Lost
CUST00194,348,9,32180.680000000004,3,3,3,333,Loyal Customers
CUST00195,15,7,10002.55,4,3,2,432,Need Attention
CUST00196,133,10,78361.5,4,3,4,434,Loyal Customers
CUST00197,342,6,35878.21,3,2,3,323,Need Attention
CUST00198,722,2,70818.46,1,1,4,114,Lost
CUST00199,482,1,1611.26,2,1,1,211,Hibernating
CUST00200,256,3,5808.0599999999995,3,1,1,311,Hibernating
CUST00201,379,3,15188.480000000001,2,1,2,212,Hibernating
CUST00202,28,21,136573.63999999998,4,5,5,455,Champions
CUST00203,14,13,162094.37,5,4,5,545,Champions
CUST00204,696,1,2217.65,1,1,1,111,Lost
CUST00205,262,7,31508.510000000002,3,3,3,333,Loyal Customers
CUST00206,10,50,321017.26,5,5,5,555,Champions
CUST00207,15,24,321635.46,4,5,5,455,Champions
CUST00208,375,5,15035.83,2,2,2,222,Hibernating
CUST00209,15,50,374711.57,4,5,5,455,Champions
CUST00210,2,31,676971.4,5,5,5,555,Champions
CUST00211,431,6,9466.1,2,2,2,222,Hibernating
CUST00212,347,4,38486.35,3,2,3,323,Need Attention
CUST00213,450,6,21967.769999999997,2,2,2,222,Hibernating
CUST00214,88,14,113727.90000000001,4,4,4,444,Champions
CUST00215,473,3,15101.06,2,1,2,212,Hibernating
CUST00216,27,15,65665.64,4,4,4,444,Champions
CUST00217,8,13,32398.480000000003,5,4,3,543,Loyal Customers
CUST00218,257,7,229835.26,3,3,5,335,Loyal Customers
CUST00219,631,3,113799.04000000001,1,1,4,114,Lost
CUST00220,553,2,970.52,1,1,1,111,Lost
CUST00221,387,5,14564.09,2,2,2,222,Hibernating
CUST00222,488,5,6331.4,1,2,1,121,Lost
CUST00223,14,33,255814.44999999998,5,5,5,555,Champions
CUST00224,121,5,65865.95,4,2,4,424,New Customers
CUST00225,469,14,35495.77,2,4,3,243,Churned Best Customers
CUST00226,120,9,116877.28,4,3,4,434,Loyal Customers
CUST00227,399,2,4494.52,2,1,1,211,Hibernating
CUST00228,142,8,199444.12999999998,3,3,5,335,Loyal Customers
CUST00229,672,2,4609.93,1,1,1,111,Lost
CUST00230,505,9,49769.63,1,3,4,134,Hibernating
CUST00231,258,5,12208.59,3,2,2,322,Need Attention
CUST00232,282,4,15306.31,3,2,2,322,Need Attention
CUST00233,420,3,14825.720000000001,2,1,2,212,Hibernating
CUST00234,18,9,47031.47,4,3,3,433,Loyal Customers
CUST00235,9,25,230048.99,5,5,5,555,Champions
CUST00236,211,9,34560.76,3,3,3,333,Loyal Customers
CUST00237,180,12,117440.29000000001,3,4,4,344,Loyal Customers
CUST00238,14,42,246647.31,5,5,5,555,Champions
CUST00239,427,11,44883.97,2,4,3,243,Churned Best Customers
CUST00240,2,31,190683.49,5,5,5,555,Champions
CUST00241,485,1,525.63,1,1,1,111,Lost
CUST00242,707,2,9593.57,1,1,2,112,Lost
CUST00243,214,3,5805.51,3,1,1,311,Hibernating
CUST00244,111,14,25365.12,4,4,3,443,Loyal Customers
CUST00245,2,35,158098.26,5,5,5,555,Champions
CUST00246,563,3,11749.28,1,1,2,112,Lost
CUST00247,129,7,10334.76,4,3,2,432,Need Attention
CUST00248,411,1,3116.74,2,1,1,211,Hibernating
CUST00249,212,2,8254.33,3,1,2,312,Hibernating
CUST00250,234,4,8118.89,3,2,2,322,Need Attention
CUST00251,33,17,66193.18,4,4,4,444,Champions
CUST00252,240,12,51044.02,3,4,4,344,Loyal Customers
CUST00253,447,1,771.19,2,1,1,211,Hibernating
CUST00254,108,7,26730.059999999998,4,3,3,433,Loyal Customers
CUST00255,1,31,247048.49,5,5,5,555,Champions
CUST00256,427,7,26930.129999999997,2,3,3,233,Hibernating
CUST00257,449,2,3730.43,2,1,1,211,Hibernating
CUST00258,518,3,5679.12,1,1,1,111,Lost
CUST00259,401,6,26278.129999999997,2,2,3,223,Hibernating
CUST00260,24,18,73572.01,4,5,4,454,Champions
CUST00261,193,2,4555.39,3,1,1,311,Hibernating
CUST00262,409,4,9182.26,2,2,2,222,Hibernating
CUST00263,6,17,152597.80000000002,5,4,5,545,Champions
CUST00264,365,3,13699.99,2,1,2,212,Hibernating
CUST00265,661,4,122395.87999999999,1,2,5,125,Lost
CUST00266,324,8,85019.61,3,3,4,334,Loyal Customers
CUST00267,540,3,7945.860000000001,1,1,1,111,Lost
CUST00268,255,6,13743.53,3,2,2,322,Need Attention
CUST00269,13,17,263928.0,5,4,5,545,Champions
CUST00270,18,15,71853.23,4,4,4,444,Champions
CUST00271,706,2,3431.27,1,1,1,111,Lost
CUST00272,323,2,5625.31,3,1,1,311,Hibernating
CUST00273,647,1,1035.24,1,1,1,111,Lost
CUST00274,577,2,4489.11,1,1,1,111,Lost
CUST00275,357,2,6522.7300000000005,2,1,1,211,Hibernating
CUST00276,183,5,10716.619999999999,3,2,2,322,Need Attention
CUST00277,416,8,15527.650000000001,2,3,2,232,Hibernating
CUST00278,525,5,31755.510000000002,1,2,3,123,Lost
CUST00279,435,8,24314.58,2,3,3,233,Hibernating
CUST00280,320,11,25595.67,3,4,3,343,Loyal Customers
CUST00281,658,2,2823.33,1,1,1,111,Lost
CUST00282,66,10,29002.039999999997,4,3,3,433,Loyal Customers
CUST00283,183,12,37004.19,3,4,3,343,Loyal Customers
CUST00284,19,18,258331.74000000002,4,5,5,455,Champions
CUST00285,413,6,15142.21,2,2,2,222,Hibernating
CUST00286,5,52,369321.43,5,5,5,555,Champions
CUST00287,5,9,45942.32,5,3,3,533,Loyal Customers
CUST00288,343,7,46372.17,3,3,3,333,Loyal Customers
CUST00289,83,10,10445.67,4,3,2,432,Need Attention
CUST00290,535,8,13890.99,1,3,2,132,Hibernating
CUST00291,6,49,236222.2,5,5,5,555,Champions
CUST00292,1,55,297529.33,5,5,5,555,Champions
CUST00293,621,2,3603.81,1,1,1,111,Lost
CUST00294,77,7,43540.02,4,3,3,433,Loyal Customers
CUST00295,3,28,103329.53,5,5,4,554,Champions
CUST00296,258,4,37678.84,3,2,3,323,Need Attention
CUST00297,356,2,6470.4,2,1,1,211,Hibernating
CUST00298,171,22,70722.39,3,5,4,354,Loyal Customers
CUST00299,258,9,66399.05,3,3,4,334,Loyal Customers
CUST00300,3,27,378929.31,5,5,5,555,Champions
CUST00301,3,22,399159.41,5,5,5,555,Champions
CUST00302,248,4,11017.1,3,2,2,322,Need Attention
CUST00303,484,12,39471.6,1,4,3,143,Churned Best Customers
CUST00304,354,2,2610.7599999999998,3,1,1,311,Hibernating
CUST00305,396,2,4533.87,2,1,1,211,Hibernating
CUST00306,541,2,1899.3200000000002,1,1,1,111,Lost
CUST00307,442,3,6940.860000000001,2,1,1,211,Hibernating
CUST00308,165,13,52013.3,3,4,4,344,Loyal Customers
CUST00309,318,6,27534.47,3,2,3,323,Need Attention
CUST00310,242,9,62727.46,3,3,4,334,Loyal Customers
CUST00311,29,5,9049.32,4,2,2,422,New Customers
CUST00312,1,32,374984.49,5,5,5,555,Champions
CUST00313,1,55,231624.88,5,5,5,555,Champions
CUST00314,583,2,16524.58,1,1,2,112,Lost
CUST00315,499,2,10019.92,1,1,2,112,Lost
CUST00316,311,4,14749.16,3,2,2,322,Need Attention
CUST00317,17,10,15142.7,4,3,2,432,Need Attention
CUST00318,2,22,261218.88999999998,5,5,5,555,Champions
CUST00319,5,23,66310.20999999999,5,5,4,554,Champions
CUST00320,100,18,243079.58000000002,4,5,5,455,Champions
CUST00321,271,4,13279.25,3,2,2,322,Need Attention
CUST00322,383,8,15192.32,2,3,2,232,Hibernating
CUST00323,436,4,13112.08,2,2,2,222,Hibernating
CUST00324,83,13,22605.68,4,4,2,442,Need Attention
CUST00325,670,1,515.56,1,1,1,111,Lost
CUST00326,206,6,11105.61,3,2,2,322,Need Attention
CUST00327,214,3,22275.809999999998,3,1,2,312,Hibernating
CUST00328,486,9,19727.489999999998,1,3,2,132,Hibernating
CUST00329,10,7,64560.25,5,3,4,534,Loyal Customers
CUST00330,29,12,17063.83,4,4,2,442,Need Attention
CUST00331,189,5,83644.31,3,2,4,324,Need Attention
CUST00332,412,5,9112.71,2,2,2,222,Hibernating
CUST00333,7,35,153661.82,5,5,5,555,Champions
CUST00334,3,14,35566.83,5,4,3,543,Loyal Customers
CUST00335,26,29,150992.66,4,5,5,455,Champions
CUST00336,1,43,271677.02999999997,5,5,5,555,Champions
CUST00337,351,1,746.58,3,1,1,311,Hibernating
CUST00338,418,6,17029.989999999998,2,2,2,222,Hibernating
CUST00339,137,8,132892.45,3,3,5,335,Loyal Customers
CUST00340,22,25,138382.34,4,5,5,455,Champions
CUST00341,87,6,12843.32,4,2,2,422,New Customers
CUST00342,55,11,58839.17,4,4,4,444,Champions
CUST00343,3,26,58496.36,5,5,4,554,Champions
CUST00344,195,5,18259.7,3,2,2,322,Need Attention
CUST00345,94,11,19834.45,4,4,2,442,Need Attention
CUST00346,433,3,5103.27,2,1,1,211,Hibernating
CUST00347,292,8,74329.22,3,3,4,334,Loyal Customers
CUST00348,6,51,258509.78,5,5,5,555,Champions
CUST00349,184,4,8654.22,3,2,2,322,Need Attention
CUST00350,480,10,25864.440000000002,2,3,3,233,Hibernating
CUST00351,236,6,25216.489999999998,3,2,3,323,Need Attention
CUST00352,427,1,1218.94,2,1,1,211,Hibernating
CUST00353,496,4,8332.86,1,2,2,122,Lost
CUST00354,4,23,122087.22,5,5,5,555,Champions
CUST00355,1,32,309682.29000000004,5,5,5,555,Champions
CUST00356,330,2,1813.57,3,1,1,311,Hibernating
CUST00357,9,64,528470.97,5,5,5,555,Champions
CUST00358,555,13,70035.25,1,4,4,144,At Risk
CUST00359,686,2,9680.869999999999,1,1,2,112,Lost
CUST00360,353,4,3965.6,3,2,1,321,Hibernating
CUST00361,57,15,112334.66,4,4,4,444,Champions
CUST00362,250,2,9824.92,3,1,2,312,Hibernating
CUST00363,172,13,441860.74,3,4,5,345,Loyal Customers
CUST00364,295,5,126911.24,3,2,5,325,Need Attention
CUST00365,649,3,10932.99,1,1,2,112,Lost
CUST00366,334,10,11129.46,3,3,2,332,Need Attention
CUST00367,522,3,90275.00000000001,1,1,4,114,Lost
CUST00368,626,2,6612.9,1,1,1,111,Lost
CUST00369,5,28,81337.14,5,5,4,554,Champions
CUST00370,13,17,92080.12,5,4,4,544,Champions
CUST00371,9,14,216492.18,5,4,5,545,Champions
CUST00372,1,48,259574.77000000002,5,5,5,555,Champions
CUST00373,37,13,53430.93,4,4,4,444,Champions
CUST00374,391,4,12925.300000000001,2,2,2,222,Hibernating
CUST00375,3,17,91469.89,5,4,4,544,Champions
CUST00376,65,10,122800.91,4,3,5,435,Loyal Customers
CUST00377,645,3,1724.94,1,1,1,111,Lost
CUST00378,3,44,191239.92,5,5,5,555,Champions
CUST00379,595,1,1366.72,1,1,1,111,Lost
CUST00380,4,18,48463.98,5,5,3,553,Loyal Customers
CUST00381,7,20,66530.41,5,5,4,554,Champions
CUST00382,637,3,17555.07,1,1,2,112,Lost
CUST00383,371,4,68581.08,2,2,4,224,Hibernating
CUST00384,622,1,30154.35,1,1,3,113,Lost
CUST00385,620,4,7076.15,1,2,1,121,Lost
CUST00386,474,1,474.19,2,1,1,211,Hibernating
CUST00387,91,12,71259.08,4,4,4,444,Champions
CUST00388,9,19,131068.31999999999,5,5,5,555,Champions
CUST00389,614,7,71724.64,1,3,4,134,Hibernating
CUST00390,213,1,1784.97,3,1,1,311,Hibernating
CUST00391,404,2,7585.55,2,1,1,211,Hibernating
CUST00392,213,8,133062.5,3,3,5,335,Loyal Customers
CUST00393,42,7,32974.8,4,3,3,433,Loyal Customers
CUST00394,356,4,74934.5,2,2,4,224,Hibernating
CUST00395,23,6,150547.95,4,2,5,425,New Customers
CUST00396,437,1,265.5,2,1,1,211,Hibernating
CUST00397,479,1,849.86,2,1,1,211,Hibernating
CUST00398,6,18,133575.06,5,5,5,555,Champions
CUST00399,592,4,13801.92,1,2,2,122,Lost
CUST00400,326,5,51302.630000000005,3,2,4,324,Need Attention
CUST00401,6,14,29873.84,5,4,3,543,Loyal Customers
CUST00402,578,1,4677.2,1,1,1,111,Lost
CUST00403,655,3,2688.7,1,1,1,111,Lost
CUST00404,411,1,4796.16,2,1,1,211,Hibernating
CUST00405,40,15,57426.37,4,4,4,444,Champions
CUST00406,567,1,928.91,1,1,1,111,Lost
CUST00407,115,15,56314.7,4,4,4,444,Champions
CUST00408,2,60,397120.8,5,5,5,555,Champions
CUST00409,460,1,1170.77,2,1,1,211,Hibernating
CUST00410,3,12,38122.46,5,4,3,543,Loyal Customers
CUST00411,3,13,163458.29,5,4,5,545,Champions
CUST00412,695,1,1507.97,1,1,1,111,Lost
CUST00413,560,3,7146.25,1,1,1,111,Lost
CUST00414,599,4,11901.26,1,2,2,122,Lost
CUST00415,653,3,24197.620000000003,1,1,3,113,Lost
CUST00416,38,14,64079.94,4,4,4,444,Champions
CUST00417,12,14,43860.21,5,4,3,543,Loyal Customers
CUST00418,77,17,103372.02,4,4,4,444,Champions
CUST00419,593,2,1314.87,1,1,1,111,Lost
CUST00420,427,6,48272.16,2,2,3,223,Hibernating
CUST00421,422,6,9682.060000000001,2,2,2,222,Hibernating
CUST00422,435,3,2365.23,2,1,1,211,Hibernating
CUST00423,10,31,131408.24,5,5,5,555,Champions
CUST00424,22,11,40798.01,4,4,3,443,Loyal Customers
CUST00425,10,19,36394.96,5,5,3,553,Loyal Customers
CUST00426,367,4,226371.24,2,2,5,225,Hibernating
CUST00427,25,10,51005.81,4,3,4,434,Loyal Customers
CUST00428,620,1,627.61,1,1,1,111,Lost
CUST00429,261,13,84786.54,3,4,4,344,Loyal Customers
CUST00430,5,23,163169.2,5,5,5,555,Champions
CUST00431,16,14,45613.07,4,4,3,443,Loyal Customers
CUST00432,279,8,47430.94,3,3,3,333,Loyal Customers
CUST00433,461,8,36472.57,2,3,3,233,Hibernating
CUST00434,1,33,335962.58999999997,5,5,5,555,Champions
CUST00435,1,23,58309.11,5,5,4,554,Champions
CUST00436,391,5,12523.16,2,2,2,222,Hibernating
CUST00437,4,27,184245.74,5,5,5,555,Champions
CUST00438,402,5,7965.13,2,2,1,221,Hibernating
CUST00439,338,2,1025.69,3,1,1,311,Hibernating
CUST00440,12,29,170410.98,5,5,5,555,Champions
CUST00441,7,19,109938.16,5,5,4,554,Champions
CUST00442,208,4,6942.71,3,2,1,321,Hibernating
CUST00443,144,16,41747.81,3,4,3,343,Loyal Customers
CUST00444,7,13,41519.87,5,4,3,543,Loyal Customers
CUST00445,481,2,21188.71,2,1,2,212,Hibernating
CUST00446,534,1,698.36,1,1,1,111,Lost
CUST00447,529,2,5081.76,1,1,1,111,Lost
CUST00448,395,6,97666.01000000001,2,2,4,224,Hibernating
CUST00449,40,8,25176.030000000002,4,3,3,433,Loyal Customers
CUST00450,2,12,196852.7,5,4,5,545,Champions
CUST00451,371,4,7263.129999999999,2,2,1,221,Hibernating
CUST00452,248,6,153533.74,3,2,5,325,Need Attention
CUST00453,183,11,215286.13,3,4,5,345,Loyal Customers
CUST00454,480,1,339.86,2,1,1,211,Hibernating
CUST00455,5,26,181808.01,5,5,5,555,Champions
CUST00456,299,8,50247.71,3,3,4,334,Loyal Customers
CUST00457,10,25,64644.78,5,5,4,554,Champions
CUST00458,172,10,108610.27,3,3,4,334,Loyal Customers
CUST00459,2,25,78433.43,5,5,4,554,Champions
CUST00460,7,20,175218.66,5,5,5,555,Champions
CUST00461,19,20,96209.75,4,5,4,454,Champions
CUST00462,447,3,3732.48,2,1,1,211,Hibernating
CUST00463,412,2,1601.0700000000002,2,1,1,211,Hibernating
CUST00464,713,3,4598.53,1,1,1,111,Lost
CUST00465,619,1,351.02,1,1,1,111,Lost
CUST00466,27,11,24838.460000000003,4,4,3,443,Loyal Customers
CUST00467,86,6,49211.62,4,2,4,424,New Customers
CUST00468,444,1,1510.04,2,1,1,211,Hibernating
CUST00469,5,14,138525.24,5,4,5,545,Champions
CUST00470,544,4,14733.9,1,2,2,122,Lost
CUST00471,6,50,479325.48,5,5,5,555,Champions
CUST00472,636,4,9843.24,1,2,2,122,Lost
CUST00473,5,36,202287.36,5,5,5,555,Champions
CUST00474,641,4,17074.75,1,2,2,122,Lost
CUST00475,390,6,12743.380000000001,2,2,2,222,Hibernating
CUST00476,593,1,4865.26,1,1,1,111,Lost
CUST00477,9,20,139679.4,5,5,5,555,Champions
CUST00478,455,3,4452.46,2,1,1,211,Hibernating
CUST00479,478,1,313.41,2,1,1,211,Hibernating
