CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,City,State,Country
CUST00122,520,1,4628.7,1,1,1,111,Lost,Surat,Gujarat,India
CUST00123,325,7,35887.049999999996,3,3,3,333,Loyal Customers,Mumbai,Maharashtra,India
CUST00124,5,26,135775.94,5,5,5,555,Champions,Durgapur,West Bengal,India
CUST00125,16,8,25843.46,4,3,3,433,Loyal Customers,Chandigarh,Punjab,India
CUST00126,6,8,58649.35,5,3,4,534,Loyal Customers,Ludhiana,Punjab,India
CUST00127,595,2,5138.29,1,1,1,111,Lost,Faridabad,Haryana,India
CUST00128,669,2,11061.429999999998,1,1,2,112,Lost,Kanpur,Uttar Pradesh,India
CUST00129,1,60,530490.5700000001,5,5,5,555,Champions,Delhi,Delhi,India
CUST00130,415,2,4001.88,2,1,1,211,Hibernating,Kochi,Kerala,India
CUST00131,172,10,14450.15,3,3,2,332,Need Attention,Rajkot,Gujarat,India
CUST00132,81,8,32228.68,4,3,3,433,Loyal Customers,Faridabad,Haryana,India
CUST00133,18,25,121866.54,4,5,5,455,Champions,Salem,Tamil Nadu,India
CUST00134,22,19,88750.09999999999,4,5,4,454,Champions,Gurgaon,Haryana,India
CUST00135,385,4,20769.01,2,2,2,222,Hibernating,Rajkot,Gujarat,India
CUST00136,222,15,38172.729999999996,3,4,3,343,Loyal Customers,Vadodara,Gujarat,India
CUST00137,485,4,12001.49,1,2,2,122,Lost,Chandigarh,Punjab,India
CUST00138,219,7,77856.4,3,3,4,334,Loyal Customers,Bikaner,Rajasthan,India
CUST00139,2,10,31765.69,5,3,3,533,Loyal Customers,Jodhpur,Rajasthan,India
CUST00140,263,3,10430.17,3,1,2,312,Hibernating,Noida,Uttar Pradesh,India
CUST00141,193,2,3281.94,3,1,1,311,Hibernating,Madurai,Tamil Nadu,India
CUST00142,45,10,21244.76,4,3,2,432,Need Attention,Bengaluru,Karnataka,India
CUST00143,36,15,92979.85,4,4,4,444,Champions,Jaipur,Rajasthan,India
CUST00144,120,11,53901.51,4,4,4,444,Champions,Kozhikode,Kerala,India
CUST00145,142,18,29641.83,3,5,3,353,Loyal Customers,Faridabad,Haryana,India
CUST00146,15,55,182602.63,4,5,5,455,Champions,Coimbatore,Tamil Nadu,India
CUST00147,349,8,138940.09,3,3,5,335,Loyal Customers,Hyderabad,Telangana,India
CUST00148,446,6,24445.420000000002,2,2,3,223,Hibernating,Varanasi,Uttar Pradesh,India
CUST00149,5,17,74639.1,5,4,4,544,Champions,Chennai,Tamil Nadu,India
CUST00150,58,10,32834.56,4,3,3,433,Loyal Customers,Udaipur,Rajasthan,India
CUST00151,537,2,1240.73,1,1,1,111,Lost,Panipat,Haryana,India
CUST00152,11,9,16115.69,5,3,2,532,Need Attention,Jodhpur,Rajasthan,India
CUST00153,15,23,440265.75,4,5,5,455,Champions,Surat,Gujarat,India
CUST00154,8,11,24600.71,5,4,3,543,Loyal Customers,Jodhpur,Rajasthan,India
CUST00155,678,3,5777.13,1,1,1,111,Lost,Delhi,Delhi,India
CUST00156,149,9,24625.22,3,3,3,333,Loyal Customers,Howrah,West Bengal,India
CUST00157,266,4,83320.69,3,2,4,324,Need Attention,Mysuru,Karnataka,India
CUST00158,626,5,71725.95,1,2,4,124,Lost,Gurgaon,Haryana,India
CUST00159,55,9,33464.229999999996,4,3,3,433,Loyal Customers,Warangal,Telangana,India
CUST00160,531,6,7778.77,1,2,1,121,Lost,Bikaner,Rajasthan,India
CUST00161,32,12,170020.33,4,4,5,445,Champions,Warangal,Telangana,India
CUST00162,497,4,48233.11,1,2,3,123,Lost,Thane,Maharashtra,India
CUST00163,271,10,12947.49,3,3,2,332,Need Attention,Nagpur,Maharashtra,India
CUST00164,395,5,88333.13,2,2,4,224,Hibernating,Hyderabad,Telangana,India
CUST00165,10,18,33128.66,5,5,3,553,Loyal Customers,Rajkot,Gujarat,India
CUST00166,374,1,151.23,2,1,1,211,Hibernating,Warangal,Telangana,India
CUST00167,34,9,18336.79,4,3,2,432,Need Attention,Mangalore,Karnataka,India
CUST00168,3,20,108501.15,5,5,4,554,Champions,Lucknow,Uttar Pradesh,India
CUST00169,4,66,279350.35,5,5,5,555,Champions,Chandigarh,Punjab,India
CUST00170,368,5,113323.83000000002,2,2,4,224,Hibernating,Thiruvananthapuram,Kerala,India
CUST00171,210,9,229794.38,3,3,5,335,Loyal Customers,Bengaluru,Karnataka,India
CUST00172,1,46,162846.1,5,5,5,555,Champions,Kolkata,West Bengal,India
CUST00173,365,4,173214.63999999998,2,2,5,225,Hibernating,Howrah,West Bengal,India
CUST00174,82,12,59393.18,4,4,4,444,Champions,Ahmedabad,Gujarat,India
CUST00175,400,4,11418.04,2,2,2,222,Hibernating,Panipat,Haryana,India
CUST00176,12,18,101447.39000000001,5,5,4,554,Champions,Chennai,Tamil Nadu,India
CUST00177,422,3,7983.290000000001,2,1,1,211,Hibernating,Coimbatore,Tamil Nadu,India
CUST00178,297,8,16850.4,3,3,2,332,Need Attention,Mysuru,Karnataka,India
CUST00179,530,4,13100.26,1,2,2,122,Lost,Kochi,Kerala,India
CUST00180,9,17,80845.48,5,4,4,544,Champions,Udaipur,Rajasthan,India
CUST00181,223,9,35898.700000000004,3,3,3,333,Loyal Customers,Chandigarh,Punjab,India
CUST00182,6,26,122609.45999999999,5,5,5,555,Champions,Ahmedabad,Gujarat,India
CUST00183,556,2,18407.75,1,1,2,112,Lost,Rajkot,Gujarat,India
CUST00184,442,3,14331.58,2,1,2,212,Hibernating,Chennai,Tamil Nadu,India
CUST00185,49,11,21065.15,4,4,2,442,Need Attention,Kochi,Kerala,India
CUST00186,228,9,93081.22,3,3,4,334,Loyal Customers,Ahmedabad,Gujarat,India
CUST00187,581,1,4808.1,1,1,1,111,Lost,Durgapur,West Bengal,India
CUST00188,566,3,3026.2200000000003,1,1,1,111,Lost,Kolkata,West Bengal,India
CUST00189,523,5,106039.61,1,2,4,124,Lost,Kolkata,West Bengal,India
CUST00190,24,5,99748.65,4,2,4,424,New Customers,Delhi,Delhi,India
CUST00191,1,25,311623.72,5,5,5,555,Champions,Jodhpur,Rajasthan,India
CUST00192,685,2,6388.6,1,1,1,111,Lost,Panipat,Haryana,India
CUST00193,512,4,9050.33,1,2,2,122,Lost,Varanasi,Uttar Pradesh,India
CUST00194,348,9,32180.680000000004,3,3,3,333,Loyal Customers,Panipat,Haryana,India
CUST00195,15,7,10002.55,4,3,2,432,Need Attention,Chennai,Tamil Nadu,India
CUST00196,133,10,78361.5,4,3,4,434,Loyal Customers,Salem,Tamil Nadu,India
CUST00197,342,6,35878.21,3,2,3,323,Need Attention,Thiruvananthapuram,Kerala,India
CUST00198,722,2,70818.46,1,1,4,114,Lost,Udaipur,Rajasthan,India
CUST00199,482,1,1611.26,2,1,1,211,Hibernating,Madurai,Tamil Nadu,India
CUST00200,256,3,5808.0599999999995,3,1,1,311,Hibernating,Vadodara,Gujarat,India
CUST00201,379,3,15188.480000000001,2,1,2,212,Hibernating,Kanpur,Uttar Pradesh,India
CUST00202,28,21,136573.63999999998,4,5,5,455,Champions,Faridabad,Haryana,India
CUST00203,14,13,162094.37,5,4,5,545,Champions,Salem,Tamil Nadu,India
CUST00204,696,1,2217.65,1,1,1,111,Lost,Mumbai,Maharashtra,India
CUST00205,262,7,31508.510000000002,3,3,3,333,Loyal Customers,Hyderabad,Telangana,India
CUST00206,10,50,321017.26,5,5,5,555,Champions,Amritsar,Punjab,India
CUST00207,15,24,321635.46,4,5,5,455,Champions,Agra,Uttar Pradesh,India
CUST00208,375,5,15035.83,2,2,2,222,Hibernating,Agra,Uttar Pradesh,India
CUST00209,15,50,374711.57,4,5,5,455,Champions,Udaipur,Rajasthan,India
CUST00210,2,31,676971.4,5,5,5,555,Champions,Chennai,Tamil Nadu,India
CUST00211,431,6,9466.1,2,2,2,222,Hibernating,New Delhi,Delhi,India
CUST00212,347,4,38486.35,3,2,3,323,Need Attention,Faridabad,Haryana,India
CUST00213,450,6,21967.769999999997,2,2,2,222,Hibernating,Chandigarh,Punjab,India
CUST00214,88,14,113727.90000000001,4,4,4,444,Champions,New Delhi,Delhi,India
CUST00215,473,3,15101.06,2,1,2,212,Hibernating,Kolkata,West Bengal,India
CUST00216,27,15,65665.64,4,4,4,444,Champions,Panipat,Haryana,India
CUST00217,8,13,32398.480000000003,5,4,3,543,Loyal Customers,Mumbai,Maharashtra,India
CUST00218,257,7,229835.26,3,3,5,335,Loyal Customers,Gurgaon,Haryana,India
CUST00219,631,3,113799.04000000001,1,1,4,114,Lost,Thane,Maharashtra,India
CUST00220,553,2,970.52,1,1,1,111,Lost,Bikaner,Rajasthan,India
CUST00221,387,5,14564.09,2,2,2,222,Hibernating,Nagpur,Maharashtra,India
CUST00222,488,5,6331.4,1,2,1,121,Lost,Delhi,Delhi,India
CUST00223,14,33,255814.44999999998,5,5,5,555,Champions,Chandigarh,Punjab,India
CUST00224,121,5,65865.95,4,2,4,424,New Customers,Hubli,Karnataka,India
CUST00225,469,14,35495.77,2,4,3,243,Churned Best Customers,Delhi,Delhi,India
CUST00226,120,9,116877.28,4,3,4,434,Loyal Customers,Ludhiana,Punjab,India
CUST00227,399,2,4494.52,2,1,1,211,Hibernating,Bikaner,Rajasthan,India
CUST00228,142,8,199444.12999999998,3,3,5,335,Loyal Customers,Warangal,Telangana,India
CUST00229,672,2,4609.93,1,1,1,111,Lost,Thane,Maharashtra,India
CUST00230,505,9,49769.63,1,3,4,134,Hibernating,Kochi,Kerala,India
CUST00231,258,5,12208.59,3,2,2,322,Need Attention,New Delhi,Delhi,India
CUST00232,282,4,15306.31,3,2,2,322,Need Attention,Lucknow,Uttar Pradesh,India
CUST00233,420,3,14825.720000000001,2,1,2,212,Hibernating,Warangal,Telangana,India
CUST00234,18,9,47031.47,4,3,3,433,Loyal Customers,Ahmedabad,Gujarat,India
CUST00235,9,25,230048.99,5,5,5,555,Champions,Faridabad,Haryana,India
CUST00236,211,9,34560.76,3,3,3,333,Loyal Customers,Kochi,Kerala,India
CUST00237,180,12,117440.29000000001,3,4,4,344,Loyal Customers,Chandigarh,Punjab,India
CUST00238,14,42,246647.31,5,5,5,555,Champions,New Delhi,Delhi,India
CUST00239,427,11,44883.97,2,4,3,243,Churned Best Customers,Bengaluru,Karnataka,India
CUST00240,2,31,190683.49,5,5,5,555,Champions,Vadodara,Gujarat,India
CUST00241,485,1,525.63,1,1,1,111,Lost,Udaipur,Rajasthan,India
CUST00242,707,2,9593.57,1,1,2,112,Lost,Noida,Uttar Pradesh,India
CUST00243,214,3,5805.51,3,1,1,311,Hibernating,New Delhi,Delhi,India
CUST00244,111,14,25365.12,4,4,3,443,Loyal Customers,Durgapur,West Bengal,India
CUST00245,2,35,158098.26,5,5,5,555,Champions,New Delhi,Delhi,India
CUST00246,563,3,11749.28,1,1,2,112,Lost,Nagpur,Maharashtra,India
CUST00247,129,7,10334.76,4,3,2,432,Need Attention,Mangalore,Karnataka,India
CUST00248,411,1,3116.74,2,1,1,211,Hibernating,Udaipur,Rajasthan,India
CUST00249,212,2,8254.33,3,1,2,312,Hibernating,Warangal,Telangana,India
CUST00250,234,4,8118.89,3,2,2,322,Need Attention,Howrah,West Bengal,India
CUST00251,33,17,66193.18,4,4,4,444,Champions,Kochi,Kerala,India
CUST00252,240,12,51044.02,3,4,4,344,Loyal Customers,Warangal,Telangana,India
CUST00253,447,1,771.19,2,1,1,211,Hibernating,Hyderabad,Telangana,India
CUST00254,108,7,26730.059999999998,4,3,3,433,Loyal Customers,Howrah,West Bengal,India
CUST00255,1,31,247048.49,5,5,5,555,Champions,Hyderabad,Telangana,India
CUST00256,427,7,26930.129999999997,2,3,3,233,Hibernating,Hyderabad,Telangana,India
CUST00257,449,2,3730.43,2,1,1,211,Hibernating,Durgapur,West Bengal,India
CUST00258,518,3,5679.12,1,1,1,111,Lost,Jaipur,Rajasthan,India
CUST00259,401,6,26278.129999999997,2,2,3,223,Hibernating,Kanpur,Uttar Pradesh,India
CUST00260,24,18,73572.01,4,5,4,454,Champions,Faridabad,Haryana,India
CUST00261,193,2,4555.39,3,1,1,311,Hibernating,Kozhikode,Kerala,India
CUST00262,409,4,9182.26,2,2,2,222,Hibernating,Hubli,Karnataka,India
CUST00263,6,17,152597.80000000002,5,4,5,545,Champions,Varanasi,Uttar Pradesh,India
CUST00264,365,3,13699.99,2,1,2,212,Hibernating,Delhi,Delhi,India
CUST00265,661,4,122395.87999999999,1,2,5,125,Lost,Mangalore,Karnataka,India
CUST00266,324,8,85019.61,3,3,4,334,Loyal Customers,Faridabad,Haryana,India
CUST00267,540,3,7945.860000000001,1,1,1,111,Lost,Jodhpur,Rajasthan,India
CUST00268,255,6,13743.53,3,2,2,322,Need Attention,Mangalore,Karnataka,India
CUST00269,13,17,263928.0,5,4,5,545,Champions,Kanpur,Uttar Pradesh,India
CUST00270,18,15,71853.23,4,4,4,444,Champions,Warangal,Telangana,India
CUST00271,706,2,3431.27,1,1,1,111,Lost,Nagpur,Maharashtra,India
CUST00272,323,2,5625.31,3,1,1,311,Hibernating,Chandigarh,Punjab,India
CUST00273,647,1,1035.24,1,1,1,111,Lost,Bikaner,Rajasthan,India
CUST00274,577,2,4489.11,1,1,1,111,Lost,Noida,Uttar Pradesh,India
CUST00275,357,2,6522.7300000000005,2,1,1,211,Hibernating,Kolkata,West Bengal,India
CUST00276,183,5,10716.619999999999,3,2,2,322,Need Attention,Hyderabad,Telangana,India
CUST00277,416,8,15527.650000000001,2,3,2,232,Hibernating,Durgapur,West Bengal,India
CUST00278,525,5,31755.510000000002,1,2,3,123,Lost,Warangal,Telangana,India
CUST00279,435,8,24314.58,2,3,3,233,Hibernating,Pune,Maharashtra,India
CUST00280,320,11,25595.67,3,4,3,343,Loyal Customers,Kolkata,West Bengal,India
CUST00281,658,2,2823.33,1,1,1,111,Lost,Varanasi,Uttar Pradesh,India
CUST00282,66,10,29002.039999999997,4,3,3,433,Loyal Customers,Mangalore,Karnataka,India
CUST00283,183,12,37004.19,3,4,3,343,Loyal Customers,Udaipur,Rajasthan,India
CUST00284,19,18,258331.74000000002,4,5,5,455,Champions,Faridabad,Haryana,India
CUST00285,413,6,15142.21,2,2,2,222,Hibernating,Kozhikode,Kerala,India
CUST00286,5,52,369321.43,5,5,5,555,Champions,Kozhikode,Kerala,India
CUST00287,5,9,45942.32,5,3,3,533,Loyal Customers,Thane,Maharashtra,India
CUST00288,343,7,46372.17,3,3,3,333,Loyal Customers,Kozhikode,Kerala,India
CUST00289,83,10,10445.67,4,3,2,432,Need Attention,Gurgaon,Haryana,India
CUST00290,535,8,13890.99,1,3,2,132,Hibernating,Kozhikode,Kerala,India
CUST00291,6,49,236222.2,5,5,5,555,Champions,Hubli,Karnataka,India
CUST00292,1,55,297529.33,5,5,5,555,Champions,Kolkata,West Bengal,India
CUST00293,621,2,3603.81,1,1,1,111,Lost,Howrah,West Bengal,India
CUST00294,77,7,43540.02,4,3,3,433,Loyal Customers,Varanasi,Uttar Pradesh,India
CUST00295,3,28,103329.53,5,5,4,554,Champions,Mysuru,Karnataka,India
CUST00296,258,4,37678.84,3,2,3,323,Need Attention,Amritsar,Punjab,India
CUST00297,356,2,6470.4,2,1,1,211,Hibernating,Salem,Tamil Nadu,India
CUST00298,171,22,70722.39,3,5,4,354,Loyal Customers,Salem,Tamil Nadu,India
CUST00299,258,9,66399.05,3,3,4,334,Loyal Customers,Ahmedabad,Gujarat,India
CUST00300,3,27,378929.31,5,5,5,555,Champions,Kozhikode,Kerala,India
CUST00301,3,22,399159.41,5,5,5,555,Champions,Udaipur,Rajasthan,India
CUST00302,248,4,11017.1,3,2,2,322,Need Attention,Thiruvananthapuram,Kerala,India
CUST00303,484,12,39471.6,1,4,3,143,Churned Best Customers,Surat,Gujarat,India
CUST00304,354,2,2610.7599999999998,3,1,1,311,Hibernating,New Delhi,Delhi,India
CUST00305,396,2,4533.87,2,1,1,211,Hibernating,Durgapur,West Bengal,India
CUST00306,541,2,1899.3200000000002,1,1,1,111,Lost,Ahmedabad,Gujarat,India
CUST00307,442,3,6940.860000000001,2,1,1,211,Hibernating,Thane,Maharashtra,India
CUST00308,165,13,52013.3,3,4,4,344,Loyal Customers,Faridabad,Haryana,India
CUST00309,318,6,27534.47,3,2,3,323,Need Attention,Amritsar,Punjab,India
CUST00310,242,9,62727.46,3,3,4,334,Loyal Customers,Madurai,Tamil Nadu,India
CUST00311,29,5,9049.32,4,2,2,422,New Customers,New Delhi,Delhi,India
CUST00312,1,32,374984.49,5,5,5,555,Champions,Thane,Maharashtra,India
CUST00313,1,55,231624.88,5,5,5,555,Champions,Bengaluru,Karnataka,India
CUST00314,583,2,16524.58,1,1,2,112,Lost,Faridabad,Haryana,India
CUST00315,499,2,10019.92,1,1,2,112,Lost,Hubli,Karnataka,India
CUST00316,311,4,14749.16,3,2,2,322,Need Attention,Surat,Gujarat,India
CUST00317,17,10,15142.7,4,3,2,432,Need Attention,Vadodara,Gujarat,India
CUST00318,2,22,261218.88999999998,5,5,5,555,Champions,New Delhi,Delhi,India
CUST00319,5,23,66310.20999999999,5,5,4,554,Champions,Panipat,Haryana,India
CUST00320,100,18,243079.58000000002,4,5,5,455,Champions,Kolkata,West Bengal,India
